Nome Completo;Idade;CPF;Setor de Trabalho;Cargo;Tipo de Contrato;Pretensao Salarial;Indicacao;Ano de Experiencia
Flávia Bezerra;27;765.432.109-88;TI;Analista;PJ;8450.00;0;6
Gustavo Rios;44;432.109.876-56;Marketing;Gerente;Temporario;11900.00;1;16
Heloísa Prado;31;109.876.543-23;Financeiro;Analista;CLT;7250.00;0;8
Igor Santana;23;876.543.210-00;RH;Analista;Estagio;3050.00;1;2
Jessica Tavares;38;543.210.987-77;Logistica;Gerente;PJ;12400.00;0;17
Kevin Morais;25;210.987.654-44;TI;Suporte;Temporario;6550.00;1;3
Larissa Farias;41;987.654.321-11;Marketing;Supervisor;CLT;10350.00;0;18
Marcos Vinicius;28;654.321.098-88;Financeiro;Coordenador;PJ;9150.00;1;9
Nádia Lima;33;321.098.765-55;RH;Coordenador;Temporario;7550.00;0;10
Otávio Cordeiro;26;098.765.432-12;Logistica;Assistente;Estagio;2950.00;1;1
Priscila Almeida;45;765.432.109-99;TI;Gerente;CLT;12600.00;0;19
Rafaela Brito;30;432.109.876-67;Financeiro;Analista;Temporario;6950.00;1;7
Sandro Júnior;22;109.876.543-34;Marketing;Estagiario;CLT;3150.00;0;0
Túlio Carvalho;37;876.543.210-11;RH;Gerente;PJ;11600.00;1;14
Úrsula Passos;29;543.210.987-88;Logistica;Analista;CLT;7950.00;0;8
Vitor Gabriel;34;210.987.654-55;TI;Programador;Temporario;9050.00;1;9
Wanessa Costa;40;987.654.321-12;Financeiro;Supervisor;PJ;10900.00;0;16
Xander Martins;21;654.321.098-99;Marketing;Assistente;Estagio;2750.00;1;2
Yago Mendonça;31;234.567.890-12;TI;Desenvolvedor;CLT;8950.00;0;8
Zara Antunes;26;345.678.901-23;Marketing;Analista;PJ;7450.00;1;5
Alex Cavalcanti;44;456.789.012-34;Financeiro;Gerente;Temporario;11200.00;1;18
Bianca Vidal;23;567.890.123-45;RH;Assistente;Estagio;3150.00;0;1
Ciro Peixoto;37;678.901.234-56;Logistica;Supervisor;CLT;9850.00;1;15
Dara Fontoura;29;789.012.345-67;TI;Analista;PJ;8250.00;0;6
Enzo Delgado;42;890.123.456-78;Marketing;Gerente;Temporario;11850.00;1;17
Flora Ramos;25;901.234.567-89;Financeiro;Coordenador;CLT;7650.00;1;4
Gael Tavares;33;012.345.678-90;RH;Coordenador;PJ;9050.00;0;9
Helena Corte;27;123.456.789-01;Logistica;Analista;Temporario;6950.00;1;5
Ítalo Neves;39;234.567.890-12;TI;Especialista;CLT;10350.00;0;14
Jade Queiroz;22;345.678.901-23;Marketing;Estagiario;Estagio;2850.00;1;0
Kauê Rangel;35;456.789.012-34;Financeiro;Analista;PJ;8750.00;1;10
Lara Pinheiro;40;567.890.123-45;RH;Gerente;Temporario;11650.00;0;18
Mário Salles;28;678.901.234-56;Logistica;Assistente;CLT;6250.00;1;6
Nina Valente;45;789.012.345-67;TI;Arquiteto;PJ;12800.00;1;20
Osvaldo Pires;30;890.123.456-78;Marketing;Coordenador;Temporario;9550.00;0;8
Paloma Dantas;24;901.234.567-89;Financeiro;Assistente;Estagio;3050.00;1;2
Quésia Muniz;38;012.345.678-90;RH;Analista;CLT;7850.00;0;12
Raul Cordero;26;123.456.789-01;Logistica;Coordenador;PJ;9150.00;1;7
Sara Botelho;43;234.567.890-12;TI;Gerente;Temporario;12150.00;0;19
Tomás Leiria;29;345.678.901-23;Marketing;Analista;CLT;7250.00;1;4
Úrsula Medeiros;36;456.789.012-34;Financeiro;Supervisor;PJ;10950.00;1;14
Vicente Gouveia;21;567.890.123-45;RH;Estagiario;Estagio;2750.00;0;1
Wanda Salgado;41;678.901.234-56;Logistica;Gerente;CLT;11750.00;1;17
Xavier Teles;27;789.012.345-67;TI;DevOps;PJ;9950.00;0;6
Yasmin Viana;34;890.123.456-78;Marketing;Supervisor;Temporario;10250.00;1;11
Zion Andrada;25;901.234.567-89;Financeiro;Analista;CLT;7050.00;0;3
Aurora Veloso;40;012.345.678-90;RH;Coordenador;PJ;9250.00;1;15
Bruce Lemos;32;123.456.789-01;Logistica;Analista;Temporario;6850.00;0;8
Clara Mourão;23;234.567.890-12;TI;Estagiario;CLT;3350.00;1;0
Dante Hilário;44;345.678.901-23;Marketing;Gerente;PJ;11900.00;0;19
Elisa Bicalho;28;456.789.012-34;Financeiro;Coordenador;Temporario;8650.00;1;9
Fabrício Saraiva;37;567.890.123-45;RH;Especialista;CLT;9450.00;1;13
Giovana Camelo;30;678.901.234-56;Logistica;Supervisor;PJ;10350.00;0;12
Heitor Dinis;26;789.012.345-67;TI;Analista;CLT;7750.00;1;5
Íris Falcão;42;890.123.456-78;Marketing;Coordenador;Temporario;9750.00;0;17
Júlio César;19;901.234.567-89;Financeiro;Assistente;Estagio;2950.00;1;1
Kátia Junqueira;35;012.345.678-90;RH;Gerente;CLT;11250.00;1;16
Luan Pimenta;29;123.456.789-01;Logistica;Analista;PJ;8550.00;0;7
Maya Corte;45;234.567.890-12;TI;Líder Técnico;Temporario;12500.00;1;20
Nuno Gabeira;31;345.678.901-23;Marketing;Analista;CLT;7350.00;1;6
Olívia Saldanha;24;456.789.012-34;Financeiro;Especialista;PJ;9650.00;0;4
Paola Resende;38;567.890.123-45;RH;Coordenador;Temporario;8950.00;1;14
Quiteria Furtado;27;678.901.234-56;Logistica;Assistente;Estagio;3250.00;0;2
Rui Tabosa;43;789.012.345-67;TI;Gerente;CLT;12400.00;1;18
Sofia Abrantes;22;890.123.456-78;Marketing;Estagiario;PJ;3050.00;1;1
Tadeu Alancastro;36;901.234.567-89;Financeiro;Supervisor;Temporario;11000.00;0;15
Úlrico Varela;25;012.345.678-90;RH;Analista;CLT;7150.00;1;3
Valéria Ramires;39;123.456.789-01;Logistica;Coordenador;PJ;9350.00;1;16
